study,cluster,url,peer_reviewed,ground,ground_abbr,language,cluster_number,treatment_group_manuscript,treatment_group,control_group_manuscript,control_group,treatment_control,can_gender,can_education,can_employment,can_migrant_generation,year_research_start,month_research_start,quarter_research_start,year_research_end,month_research_end,quarter_research_end,country,us_state,country_iso3,region,subregion,subregion2,callback_type,agent_type,audit_type,airbnb,urbanisation,information,matched_design,identical_comparison_group,application_count_maj,application_count_min,callback_count_maj,callback_count_min,noncallback_count_maj,noncallback_count_min,rrate,rrate_ln,prrate_maj,prrate_min,prratio,prratio_ln,prratio_ln_se,prratio_ln_v,prratio_ln_p,prratio_ln_v_inv,prratio_std,dratio,odds_maj,odds_min,oddsratio,oddsratio_ln,oddsratio_ln_se,source_pagination,source_table,source_figure,source_appendix,general_comments,peer_reviewer_count,info_binary,region_agg,time_research_start,time_research_end,year_mid,year_mid_z,year_mid_fct,period_broad,period_narrow,flag_in_scope_ground,flag_complete_counts,flag_valid_effect,flag_main_sample
Faber & Mercier (2022),Faber & Mercier (2022) 2,https://doi.org/10.1080/10511482.2021.2010118,Yes,Social origin,soc,English,2,Housing voucher and White,Low social class,No housing voucher and White,High social class,Low social class x High social class,Female,Various or Unknown,Mixed or Unknown,Unknown or NA,2017,October,4,2019,May,2,United States,Various,USA,North America,North America,North America,Positive reaction,Mixed or Unknown,Email,No,Urban,Work or income and personal information,No,No,708,705,336,161,372,544,0.35173389950460016,-1.0448803565878986,0.4745762711864407,0.22836879432624113,0.48120567375886525,-0.7314605040972901,0.07972767089016804,0.006356501505570948,12.542696768071766,157.3192422157979,-9.174487300713226,-0.5187943262411348,0.9032258064516129,0.2959558823529412,0.3276654411764706,-1.1157621875615371,0.11710584074905264,168,A3,1,Both,,2,Extensive,North America,2017.75,2019.25,2018,0.4766951106784398,2018,2011-2020,2016-2020,TRUE,TRUE,TRUE,TRUE
Faber & Mercier (2022),Faber & Mercier (2022) 3,https://doi.org/10.1080/10511482.2021.2010118,Yes,Social origin,soc,English,3,Housing voucher and Latina,Low social class,No housing voucher and Latina,High social class,Low social class x High social class,Female,Various or Unknown,Mixed or Unknown,Unknown or NA,2017,October,4,2019,May,2,United States,Various,USA,North America,North America,North America,Positive reaction,Mixed or Unknown,Email,No,Urban,Work or income and personal information,No,No,699,702,318,162,381,540,0.3426124197002141,-1.0711554424350704,0.45493562231759654,0.23076923076923078,0.5072568940493469,-0.6787377093397935,0.08038891095916766,0.0064623770052009855,12.439526647001538,154.74182320146133,-8.443175821657146,-0.49274310595065307,0.8346456692913385,0.3,0.359433962264151,-1.0232248119794118,0.11744793468633453,168,A3,1,Both,,2,Extensive,North America,2017.75,2019.25,2018,0.4766951106784398,2018,2011-2020,2016-2020,TRUE,TRUE,TRUE,TRUE
Faber & Mercier (2022),Faber & Mercier (2022) 4,https://doi.org/10.1080/10511482.2021.2010118,Yes,Social origin,soc,English,4,Housing voucher and Black,Low social class,No housing voucher and Black,High social class,Low social class x High social class,Female,Various or Unknown,Mixed or Unknown,Unknown or NA,2017,October,4,2019,May,2,United States,Various,USA,North America,North America,North America,Positive reaction,Mixed or Unknown,Email,No,Urban,Work or income and personal information,No,No,696,707,285,171,411,536,0.32501781895937276,-1.1238752705880748,0.40948275862068967,0.24186704384724186,0.5906647807637906,-0.526506629328144,0.08065678136401187,0.006505516380002013,12.398213554876472,153.71569935232267,-6.527741628468516,-0.4093352192362094,0.6934306569343066,0.31902985074626866,0.46007462686567163,-0.7763665703405581,0.11685669348531463,168,A3,1,Both,,2,Extensive,North America,2017.75,2019.25,2018,0.4766951106784398,2018,2011-2020,2016-2020,TRUE,TRUE,TRUE,TRUE
"Fiere, van der Tuin, & van den Oetelaar (2024)","Fiere, van der Tuin, & van den Oetelaar (2024) 1",https://radar.nl/publicaties/monitor-discriminatie-woningverhuur-rotterdam-2024/,No,Ethno-racial origin,ero,Dutch,1,Moroccan name,"Arab, North African, Turkish",Dutch name,Western European,"Middle Eastern, Northern African, Arab x Western European",Male,Various or Unknown,Mixed or Unknown,Unknown or NA,2023,October,4,2024,January,1,Netherlands,,NLD,Europe,Western Europe,Western Europe,Positive reaction,Mixed or Unknown,Email,No,Urban,No information,Yes,No,128,128,15,12,113,116,0.10546875,-2.2493405784752336,0.1171875,0.09375,0.8,-0.2231435513142097,0.3665719574653795,0.13437500000000002,2.727977357881894,7.441860465116278,-0.6087305555425206,-0.19999999999999996,0.13274336283185842,0.10344827586206896,0.7793103448275861,-0.24934592370823397,0.4092312881211507,16,,,No,"Additional study, added to inclusion criteria.",1,Standard,Europe,2023.75,2024,2023,1.4755221708509696,2023,2021-2024,2021-2024,TRUE,TRUE,TRUE,TRUE
"Fiere, van der Tuin, & van den Oetelaar (2024)","Fiere, van der Tuin, & van den Oetelaar (2024) 2",https://radar.nl/publicaties/monitor-discriminatie-woningverhuur-rotterdam-2024/,No,Ethno-racial origin,ero,Dutch,2,Moroccan name,"Arab, North African, Turkish",Dutch name,Western European,"Middle Eastern, Northern African, Arab x Western European",Female,Various or Unknown,Mixed or Unknown,Unknown or NA,2023,October,4,2024,January,1,Netherlands,,NLD,Europe,Western Europe,Western Europe,Positive reaction,Mixed or Unknown,Email,No,Urban,No information,Yes,No,129,129,10,8,119,121,0.06976744186046512,-2.662587827025453,0.07751937984496124,0.06201550387596899,0.8,-0.2231435513142097,0.45770746556180153,0.20949612403100773,2.1848015932459726,4.77335800185014,-0.48752438643384977,-0.19999999999999996,0.08403361344537816,0.06611570247933884,0.7867768595041322,-0.23981060379942146,0.4915972173990158,16,,,No,"Additional study, added to inclusion criteria.",1,Standard,Europe,2023.75,2024,2023,1.4755221708509696,2023,2021-2024,2021-2024,TRUE,TRUE,TRUE,TRUE
"Fiere, van der Tuin, & van den Oetelaar (2024)","Fiere, van der Tuin, & van den Oetelaar (2024) 3",https://radar.nl/publicaties/monitor-discriminatie-woningverhuur-rotterdam-2024/,No,Gender,gen,Dutch,3,Female,Female,Male,Male,Female x Male,Unknown or NA,Various or Unknown,Mixed or Unknown,Unknown or NA,2023,October,4,2024,January,1,Netherlands,,NLD,Europe,Western Europe,Western Europe,Positive reaction,Mixed or Unknown,Email,No,Urban,No information,Yes,No,128,129,15,10,113,119,0.09727626459143969,-2.330200260027019,0.1171875,0.07751937984496124,0.661498708010336,-0.41324724855021927,0.388718701225154,0.15110222868217055,2.5725543866251472,6.618036072144289,-1.0631010220186392,-0.33850129198966405,0.13274336283185842,0.08403361344537816,0.6330532212885154,-0.45720078250735324,0.4288584679510577,16,,,No,"Additional study, added to inclusion criteria. Only ethnic majority candidates.",1,Standard,Europe,2023.75,2024,2023,1.4755221708509696,2023,2021-2024,2021-2024,TRUE,TRUE,TRUE,TRUE
"Fiere, van der Tuin, & van den Oetelaar (2024)","Fiere, van der Tuin, & van den Oetelaar (2024) 4",https://radar.nl/publicaties/monitor-discriminatie-woningverhuur-rotterdam-2024/,No,Sexual orientation,seo,Dutch,4,Homosexual couple,Same-sex orientation,Heterosexual couple,Heterosexual orientation,Same-sex orientation x Heterosexual orientation,Both,Various or Unknown,Mixed or Unknown,Unknown or NA,2023,October,4,2024,January,1,Netherlands,,NLD,Europe,Western Europe,Western Europe,Positive reaction,Mixed or Unknown,Email,No,Urban,No information,Yes,No,199,199,28,26,171,173,0.135678391959799,-1.9974679587201634,0.1407035175879397,0.1306532663316583,0.9285714285714286,-0.07410797215372185,0.2532302764669793,0.06412557291954278,3.9489748775375912,15.594402583423033,-0.29265052026030297,-0.0714285714285714,0.16374269005847952,0.15028901734104047,0.9178364987613543,-0.08573601014884091,0.2929234101484681,17,,3,No,"Additional study, added to inclusion criteria.",1,Standard,Europe,2023.75,2024,2023,1.4755221708509696,2023,2021-2024,2021-2024,TRUE,TRUE,TRUE,TRUE
Flipppen (2021),Flipppen (2021) 1,https://open.bu.edu/server/api/core/bitstreams/689b59bc-9796-42a9-8f43-24ff81437478/content,No,Ethno-racial origin,ero,English,1,Latina no voucher,"Hispanic, Southern American",White no housing voucher,"Northern American, Australian, White","Hispanic, Southern American, Latin American, Caribbean x Northern American, Australian, White",Female,Various or Unknown,Mixed or Unknown,Unknown or NA,2020,August,3,2021,February,1,United States,Massachusetts,USA,North America,North America,North America,Positive reaction,Mixed or Unknown,Email,No,Urban,No information,No,Yes,50,51,30,31,20,20,0.6039603960396039,-0.5042466526679482,0.6,0.6078431372549019,1.0130718954248366,0.012987195526811112,0.16119415222708128,0.02598355471220745,6.203698993939036,38.48588120740021,0.08056865182376766,0.013071895424836555,1.5,1.55,1.0333333333333334,0.03278982282299097,0.4069292295344024,22,2,,No,,2,Standard,North America,2020.5,2021,2020,0.8762259347474517,2020,2011-2020,2016-2020,TRUE,TRUE,TRUE,TRUE
Flipppen (2021),Flipppen (2021) 1,https://open.bu.edu/server/api/core/bitstreams/689b59bc-9796-42a9-8f43-24ff81437478/content,No,Ethno-racial origin,ero,English,1,Black no voucher,"Black, Central African, African American",White no housing voucher,"Northern American, Australian, White","African American, Central African, Black x Northern American, Australian, White",Female,Various or Unknown,Mixed or Unknown,Unknown or NA,2020,August,3,2021,February,1,United States,Massachusetts,USA,North America,North America,North America,Positive reaction,Mixed or Unknown,Email,No,Urban,No information,No,Yes,50,50,30,23,20,27,0.53,-0.6348782724359695,0.6,0.46,0.7666666666666667,-0.2657031657330056,0.19186347803294543,0.036811594202898534,5.2120393638871025,27.165354330708674,-1.384855358909844,-0.23333333333333328,1.5,0.8518518518518519,0.5679012345679012,-0.5658077581833438,0.4047822022272417,22,2,,No,,2,Standard,North America,2020.5,2021,2020,0.8762259347474517,2020,2011-2020,2016-2020,TRUE,TRUE,TRUE,TRUE
Flipppen (2021),Flipppen (2021) 1,https://open.bu.edu/server/api/core/bitstreams/689b59bc-9796-42a9-8f43-24ff81437478/content,No,Social origin,soc,English,1,White housing voucher,Low social class,White no housing voucher,High social class,Low social class x High social class,Female,Various or Unknown,Mixed or Unknown,Unknown or NA,2020,August,3,2021,February,1,United States,Massachusetts,USA,North America,North America,North America,Positive reaction,Mixed or Unknown,Email,No,Urban,Mixed,No,Yes,50,51,30,6,20,45,0.3564356435643564,-1.0316015783851495,0.6,0.11764705882352941,0.19607843137254902,-1.62924053973028,0.400489896080719,0.1603921568627451,2.496941894879788,6.234718826405867,-4.068118960489095,-0.803921568627451,1.5,0.13333333333333333,0.08888888888888889,-2.4203681286504293,0.521749194749951,22,2,,No,Only ethnic majority candidates.,2,Extensive,North America,2020.5,2021,2020,0.8762259347474517,2020,2011-2020,2016-2020,TRUE,TRUE,TRUE,TRUE
